t,vx_des,vy_des,wz_des,vx_out,vy_out,wz_out,imu_wz,tilt_deg,rho_min,poly_violation,hold,solver,solve_ms
0.020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.220,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.280,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.420,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
0.480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,nan,0,0,,
