t,vx_des,vy_des,wz_des,vx_out,vy_out,wz_out,imu_wz,tilt_deg,rho_min,poly_violation,hold,solver,solve_ms
0.020,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24920,0.00000,0.000,nan,0,0,,
0.040,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24687,0.00000,0.000,nan,0,0,,
0.060,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24687,0.00000,0.000,nan,0,0,,
0.080,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24687,0.00000,0.000,nan,0,0,,
0.100,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24300,0.00000,0.000,nan,0,0,,
0.120,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24300,0.00000,0.000,nan,0,0,,
0.140,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23765,0.00000,0.000,nan,0,0,,
0.160,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23765,0.00000,0.000,nan,0,0,,
0.180,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23765,0.00000,0.000,nan,0,0,,
0.200,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23083,0.00000,0.000,nan,0,0,,
0.220,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23083,0.00000,0.000,nan,0,0,,
0.240,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22258,0.00000,0.000,nan,0,0,,
0.260,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22258,0.00000,0.000,nan,0,0,,
0.280,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22258,0.00000,0.000,nan,0,0,,
0.300,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21296,0.00000,0.000,nan,0,0,,
0.320,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21296,0.00000,0.000,nan,0,0,,
0.340,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20204,0.00000,0.000,nan,0,0,,
0.360,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20204,0.00000,0.000,nan,0,0,,
0.380,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20204,0.00000,0.000,nan,0,0,,
0.400,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18986,0.00000,0.000,nan,0,0,,
0.420,0.00000,0.00000,0.00000,0.00000,0.00000,-0.18986,0.00000,0.000,nan,0,0,,
0.440,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17651,0.00000,0.000,nan,0,0,,
0.460,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17651,0.00000,0.000,nan,0,0,,
0.480,0.00000,0.00000,0.00000,0.00000,0.00000,-0.17651,0.00000,0.000,nan,0,0,,
0.500,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16207,0.00000,0.000,nan,0,0,,
0.520,0.00000,0.00000,0.00000,0.00000,0.00000,-0.16207,0.00000,0.000,nan,0,0,,
0.540,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14664,0.00000,0.000,nan,0,0,,
0.560,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14664,0.00000,0.000,nan,0,0,,
0.580,0.00000,0.00000,0.00000,0.00000,0.00000,-0.14664,0.00000,0.000,nan,0,0,,
0.600,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13032,0.00000,0.000,nan,0,0,,
0.620,0.00000,0.00000,0.00000,0.00000,0.00000,-0.13032,0.00000,0.000,nan,0,0,,
0.640,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11317,0.00000,0.000,nan,0,0,,
0.660,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11317,0.00000,0.000,nan,0,0,,
0.680,0.00000,0.00000,0.00000,0.00000,0.00000,-0.11317,0.00000,0.000,nan,0,0,,
0.700,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09533,0.00000,0.000,nan,0,0,,
0.720,0.00000,0.00000,0.00000,0.00000,0.00000,-0.09533,0.00000,0.000,nan,0,0,,
0.740,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07689,0.00000,0.000,nan,0,0,,
0.760,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07689,0.00000,0.000,nan,0,0,,
0.780,0.00000,0.00000,0.00000,0.00000,0.00000,-0.07689,0.00000,0.000,nan,0,0,,
0.800,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05800,0.00000,0.000,nan,0,0,,
0.820,0.00000,0.00000,0.00000,0.00000,0.00000,-0.05800,0.00000,0.000,nan,0,0,,
0.840,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03874,0.00000,0.000,nan,0,0,,
0.860,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03874,0.00000,0.000,nan,0,0,,
0.880,0.00000,0.00000,0.00000,0.00000,0.00000,-0.03874,0.00000,0.000,nan,0,0,,
0.900,0.00000,0.00000,0.00000,0.00000,0.00000,-0.01922,0.00000,0.000,nan,0,0,,
0.920,0.00000,0.00000,0.00000,0.00000,0.00000,-0.01922,0.00000,0.000,nan,0,0,,
0.940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00036,0.00000,0.000,nan,0,0,,
0.960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00036,0.00000,0.000,nan,0,0,,
0.980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00036,0.00000,0.000,nan,0,0,,
1.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000,0.00000,0.000,nan,0,0,,
1.020,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000,0.00000,0.000,nan,0,0,,
1.040,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
1.060,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
1.080,0.00000,0.00000,0.00000,0.00000,0.00000,0.03948,0.00000,0.000,nan,0,0,,
1.100,0.00000,0.00000,0.00000,0.00000,0.00000,0.05872,0.00000,0.000,nan,0,0,,
1.120,0.00000,0.00000,0.00000,0.00000,0.00000,0.05872,0.00000,0.000,nan,0,0,,
